Factory_Name,Category,Product_Type,Brand,Empty,Parent_Group,Address,City,State,Zip,Country,Region,Workers,Female_Workers,Line_Workers,Migrant_Workers
Grumax,FINISHED GOODS,Apparel,Nike,,GRUPO,Av Lazaro Cardenas S N,Xalapa,Veracruz,91180,Mexico,AMERICAS,494,436,61,0
PT Marel Sukses Pratama,FINISHED GOODS,Equipment,Converse,,PT MAP,JL Baru Mulungan Gondang Penen,Yogyakarta,Yogyakarta,55285,Indonesia,S ASIA,156,128,52,0
Marbelys 2,FINISHED GOODS,Apparel,Nike,,MARBELYS,5a Avenida 0 03 zona 2,San Pedro Sacatepequez,Guatemala,01058,Guatemala,AMERICAS,134,128,57,0
"PROSPORTS FASHION (VIET NAM) CO., LTD.",FINISHED GOODS,Apparel,Converse,,PROSPORTS FASHION,Lot CN24 Cao An Industrial cluster,Hai Duong,Hai Phong,03608,Vietnam,SE ASIA,470,387,79,0
EAGLE NICE VIETNAM COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,,EAGLE NICE,New Hamlet 2,Tay Ninh,Tây Ninh,82720,Vietnam,SE ASIA,715,439,89,0
Walt USA LLC,FINISHED GOODS,Equipment,Nike,,ZHEJIANG WALT,2929 N Main St,N Logan,Utah,84341,USA,AMERICAS,31,26,62,0
"Vertex One Apparel Phils., Inc.",FINISHED GOODS,Apparel,Nike,,SPORTS CITY,Crescent Road Lot 8 Block 4,Lapu Lapu City,Cebu,6015,Philippines,N ASIA,2151,1329,64,0
"Xiamen Xinduoyu Manufacturing Co., Ltd.",FINISHED GOODS,Apparel,Nike,,XIAMEN XINDUOYU MANUFACTURING,2 of No 32 1 Xinyuan Road Jimei District,Xiamen,Fujian,361000,China,N ASIA,61,53,68,0
"Tremon Sporting Goods Enterprise Co.,Ltd",FINISHED GOODS,Equipment,Nike,,TREMON,Road No 5 Trang Bang Industrial Park,Tay Ninh,Tây Ninh,80000,Vietnam,SE ASIA,908,789,58,1
MAS KREEDA PDC & MEC,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Lot 49 58 59 BEPZ,Colombo,Colombo,42000,Sri Lanka,S ASIA,233,119,63,0
MAS KREEDA Synergy ,FINISHED GOODS,Apparel,Nike,Collegiate,MAS HOLDINGS,A3 Seethawaka Export Processing zone,Avissawella,Colombo,10700,Sri Lanka,S ASIA,2858,2348,67,0
Cooperativa Textil Seuca Ltda.,FINISHED GOODS,Apparel,Converse,,COOPERATIVA TEXTIL SEUCA,Las Heras 513,Guaymallen,Mendoza,M5521,Argentina,AMERICAS,21,17,82,0
Ha Noi Garment No. 40 Joint Stock Company,FINISHED GOODS,Apparel,Nike,,MAXPORT,88 Ha Dinh Thanh Xuan Dist,Ha Noi City,Ha Noi,800000,Vietnam,SE ASIA,84,61,87,0
Ajara Textile Ltd (Rustavi),FINISHED GOODS,Apparel,Nike,,MILTEKS,20 Gagarini street Rustavi,Rustavi,Tbilisi,3700,Georgia,EMEA,1118,1038,97,0
"JOY VINA FASHION CO., LTD",FINISHED GOODS,Apparel,Converse,,JOY VINA FASHION,Tu Dong Village,Hung Yen,Hung Yên,39000,Vietnam,SE ASIA,381,310,82,1
PT YIH QUAN FOOTWEAR INDONESIA,FINISHED GOODS,Footwear,Converse,,LAI YIH,KAWASAN INDUSTRI TERPADU BATANG,REGENCY BATANG,Jawa Tengah,51271,Indonesia,S ASIA,1499,1346,72,0
